,City,Latitude,Longitude,Temperature,Max Temperature,Humidity,Clouds,Wind
0,Punta Arenas,-53.15,-70.9167,37.51,37.51,60,40,16.11
1,Geraldton,-28.7667,114.6,59.41,59.41,63,75,17.27
2,Busselton,-33.65,115.3333,50.04,50.04,64,83,23.62
3,Avarua,-21.2078,-159.775,73.45,73.45,88,20,3.44
4,Saint Paul Harbor,57.79,-152.4072,51.85,51.85,96,100,7.0
5,Ukiah,39.1502,-123.2078,65.93,72.88,55,1,0.0
6,Rikitea,-23.1203,-134.9692,71.55,71.55,72,98,17.11
7,Ifo,6.8144,3.1958,76.62,76.62,79,81,6.29
8,Berlevåg,70.8578,29.0864,66.15,67.8,59,0,6.91
9,Saint-Joseph,-21.3667,55.6167,73.26,75.56,75,17,4.76
10,Port Alfred,-33.5906,26.891,58.53,58.53,56,94,10.89
11,Sonoita,31.85,-112.8333,84.52,84.52,55,5,0.56
12,Laas,46.6166,10.7002,62.73,66.02,61,59,3.65
13,Upernavik,72.7868,-56.1549,44.82,44.82,60,100,6.78
14,Gijang,35.2442,129.2139,87.53,87.53,75,28,6.4
15,Cidreira,-30.1811,-50.2056,60.89,60.89,96,60,10.0
16,Mataura,-46.1927,168.8643,50.49,50.49,97,100,7.05
17,Kazachka,53.3644,38.0694,81.36,81.36,46,100,10.09
18,Hermanus,-34.4187,19.2345,55.9,55.9,63,0,4.29
19,Tougan,13.0667,-3.0667,77.11,77.11,80,95,9.19
20,Celestún,20.8667,-90.4,78.89,78.89,79,24,10.25
21,Albany,42.6001,-73.9662,67.26,69.1,89,20,3.56
22,Jamestown,42.097,-79.2353,73.31,78.39,78,90,6.69
23,Peniche,39.3558,-9.3811,65.3,66.29,87,4,13.02
24,Frutigen,46.5878,7.6475,61.84,73.63,45,69,1.63
25,Ostrovnoy,68.0531,39.5131,59.54,59.54,87,100,11.79
26,Kiryat Gat,31.61,34.7642,86.22,90.39,42,0,6.87
27,Katsuura,35.1333,140.3,93.31,93.31,72,0,23.33
28,Bandar-e Lengeh,26.5579,54.8807,98.71,98.71,63,0,13.8
29,Leh,34.1667,77.5833,66.99,66.99,33,67,5.73
30,Kuah,6.3265,99.8432,85.98,86.0,79,40,5.75
31,Cape Town,-33.9258,18.4232,50.11,56.12,88,0,3.44
32,Saldanha,-33.0117,17.9442,42.85,42.85,61,0,5.77
33,Korla,41.7597,86.1469,85.96,85.96,29,100,24.18
34,Lavrentiya,65.5833,-171.0,44.37,44.37,78,100,6.73
35,Arraial do Cabo,-22.9661,-42.0278,68.02,68.02,87,3,20.31
36,Camaquã,-30.8511,-51.8122,56.89,56.89,96,100,6.73
37,Coração de Jesus,-16.6853,-44.365,61.16,61.16,74,25,5.93
38,Kisi,9.0833,3.85,73.44,73.44,89,100,7.31
39,Longyearbyen,78.2186,15.6401,44.44,44.44,87,75,2.3
40,Kaeo,-35.1,173.7833,49.32,49.32,85,3,4.94
41,Ushuaia,-54.8,-68.3,33.46,33.46,80,20,36.82
42,Norman Wells,65.282,-126.8329,48.24,48.24,93,75,3.44
43,Sibolga,1.7427,98.7792,80.29,80.29,87,90,4.12
44,Inhambane,-23.865,35.3833,69.87,69.87,76,100,21.68
45,Bengkulu,-3.8004,102.2655,82.36,82.36,76,100,5.68
46,Puerto Ayora,-0.7393,-90.3518,68.36,68.36,84,77,7.61
47,Carnarvon,-24.8667,113.6333,68.07,68.07,54,3,24.16
48,Bernalillo,35.05,-106.6673,78.87,81.5,38,75,1.99
49,Bredasdorp,-34.5322,20.0403,49.32,49.32,66,0,4.61
50,Ancud,-41.8697,-73.8203,38.93,43.43,84,8,4.54
51,Lázaro Cárdenas,17.9583,-102.2,75.7,75.7,86,100,4.72
52,Pangody,65.85,74.4859,63.46,63.46,46,100,17.07
53,Nikolskoye,59.7035,30.7861,66.09,66.09,55,25,5.55
